fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
VOLVE,22.09.2016,,Shut down,3420717,28.02.2023,29.05.2024
YME,06.01.1995,26.02.1996,Approved for production,43807,28.02.2023,29.05.2024
YME,27.02.1996,16.04.2001,Producing,43807,28.02.2023,29.05.2024
YME,17.04.2001,10.05.2007,Shut down,43807,28.02.2023,29.05.2024
YME,11.05.2007,11.12.2014,Approved for production,43807,28.02.2023,29.05.2024
YME,12.12.2014,22.03.2018,Shut down,43807,28.02.2023,29.05.2024
YME,23.03.2018,24.10.2021,Approved for production,43807,28.02.2023,29.05.2024
YME,25.10.2021,,Producing,43807,28.02.2023,29.05.2024
YTTERGRYTA,21.05.2008,04.01.2009,Approved for production,4973114,28.02.2023,29.05.2024
YTTERGRYTA,05.01.2009,28.06.2013,Producing,4973114,28.02.2023,29.05.2024
YTTERGRYTA,29.06.2013,,Shut down,4973114,28.02.2023,29.05.2024
ÆRFUGL NORD,06.04.2018,04.11.2021,Approved for production,38542241,28.02.2023,29.05.2024
ÆRFUGL NORD,05.11.2021,,Producing,38542241,28.02.2023,29.05.2024
ØRN,28.06.2023,,Approved for production,42002484,10.08.2023,29.05.2024
ØST FRIGG,14.12.1984,30.09.1988,Approved for production,43576,28.02.2023,29.05.2024
ØST FRIGG,01.10.1988,21.12.1997,Producing,43576,28.02.2023,29.05.2024
ØST FRIGG,22.12.1997,,Shut down,43576,28.02.2023,29.05.2024
ÅSGARD,14.06.1996,18.05.1999,Approved for production,43765,28.02.2023,29.05.2024
ÅSGARD,19.05.1999,,Producing,43765,28.02.2023,29.05.2024
AASTA HANSTEEN,07.06.2013,15.12.2018,Approved for production,23395946,28.02.2023,29.05.2024
AASTA HANSTEEN,16.12.2018,,Producing,23395946,28.02.2023,29.05.2024

